Fight_Id,Win/No Contest/Draw,Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id
3d7ea6012fd8f786,win,b7b84ccd221be298,51e86de150ee8be6,Nasrat Haqparast,Thibault Gouti,1,0,124,78,0,0,0,0,Lightweight,U-DEC,3,5:00,33a331684283900f
bd0622b184ab4f28,win,751de04455cfaac0,bebb4ae55ac2bf6f,Calvin Kattar,Chris Fishgold,1,0,24,20,0,1,0,0,Featherweight,KO/TKO Punch,1,4:11,33a331684283900f
8dcfa933877e3a0b,win,5b2325cd70dbe2ea,539ed332b3078821,Talita Bernardo,Sarah Moras,0,0,60,37,2,1,1,0,Women's Bantamweight,U-DEC,3,5:00,33a331684283900f
9d204f44a9988b93,win,68c7ad953455c73f,ef44e4ea9050f2ea,Don Madge,Te Edwards,2,0,21,5,0,1,1,0,Lightweight,KO/TKO Kick,2,0:14,33a331684283900f
4f42acd810ed5173,win,7e511f8d842a109d,ac29d508d78384c9,Arjan Bhullar,Marcelo Golm,0,0,47,43,1,0,0,0,Heavyweight,U-DEC,3,5:00,33a331684283900f
53bb7c4a606d60c0,win,31a13532e724ca2b,6eaec40f724852f4,Stevie Ray,Jessin Ayari,0,0,75,63,0,0,0,0,Lightweight,U-DEC,3,5:00,33a331684283900f
3eea92e7f26fb05b,win,032cc3922d871c7f,f4c49976c75c5ab2,Khabib Nurmagomedov,Conor McGregor,0,0,70,51,3,0,1,0,Lightweight,SUB Rear Naked Choke,4,3:03,1ef0eae31904e534
8f6dda53ea3b09c7,win,22a92d7f62195791,cbb682f5fcc44bfc,Tony Ferguson,Anthony Pettis,0,1,114,45,0,0,0,0,Lightweight,KO/TKO,2,5:00,1ef0eae31904e534
3c5442bb62ca1505,win,2e19380f34871c6a,50db8711c70196cd,Dominick Reyes,Ovince Saint Preux,1,0,94,38,0,1,0,0,Light Heavyweight,U-DEC,3,5:00,1ef0eae31904e534
397ace87deeb8697,win,d3df1add9d9a7efb,279566840aa55bf2,Derrick Lewis,Alexander Volkov,1,0,39,121,0,1,0,0,Heavyweight,KO/TKO Punches,3,4:49,1ef0eae31904e534
adee1fc200ed1a12,win,eb04b9d31e938edb,b6850671a008bf9a,Michelle Waterson-Gomez,Felice Herrig,0,0,76,51,0,1,0,0,Women's Strawweight,U-DEC,3,5:00,1ef0eae31904e534
8f5482992dad74d2,win,b102c26727306ab6,de75d1c45a39e221,Jussier Formiga,Sergio Pettis,0,0,18,30,2,0,0,0,Flyweight,U-DEC,3,5:00,1ef0eae31904e534
48ea8a30f7b88cfc,win,6d4b63c767106d3a,4d8fa64202cee4c1,Vicente Luque,Jalin Turner,1,0,41,31,0,0,0,0,Welterweight,KO/TKO Punches,1,3:52,1ef0eae31904e534
e2e524bb5392a3ea,win,d4691518d012b9e7,b12a1d19ee383b7c,Aspen Ladd,Tonya Evinger,0,0,50,9,0,0,0,0,Women's Bantamweight,KO/TKO Punches,1,3:26,1ef0eae31904e534
c835ccffa472970e,win,df1eb4354d18a906,cd7763bcadb5d4c8,Scott Holtzman,Alan Patrick,1,0,73,25,1,0,0,0,Lightweight,KO/TKO Elbows,3,3:42,1ef0eae31904e534
21be9181725ab599,win,3143bf892608139a,2eeaefbfc7f9fcff,Yana Santos,Lina Lansberg,0,0,72,43,5,0,1,1,Women's Bantamweight,U-DEC,3,5:00,1ef0eae31904e534
